Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
2023-02-15 00:02:16,2023-02-16 01:46:52,UTCZ,2023-02-15 00:02:16,2023-02-15 06:55:09,62,14.4,352,409,214,66,72,57,566,51,86,false
2023-02-13 22:30:55,2023-02-15 00:02:16,UTCZ,2023-02-13 22:30:55,2023-02-14 08:04:49,83,14.4,484,574,251,99,134,90,581,95,84,false
2023-02-13 02:09:28,2023-02-13 22:30:55,UTCZ,2023-02-13 02:09:28,2023-02-13 08:21:58,59,14.6,293,370,152,64,77,77,497,27,79,false
2023-02-11 23:35:10,2023-02-13 02:09:28,UTCZ,2023-02-11 23:35:10,2023-02-12 09:19:10,91,13.9,473,583,279,78,116,110,520,51,81,false
2023-02-11 00:49:48,2023-02-11 23:35:10,UTCZ,2023-02-11 00:49:48,2023-02-11 10:08:38,83,14.5,468,558,255,85,128,90,567,84,83,false
2023-02-10 00:11:05,2023-02-11 00:49:48,UTCZ,2023-02-10 00:11:05,2023-02-10 08:02:08,72,14.6,406,468,218,77,111,62,561,88,86,false
2023-02-09 01:46:07,2023-02-10 00:11:05,UTCZ,2023-02-09 01:46:07,2023-02-09 08:19:43,62,14.2,342,393,169,63,110,51,553,79,87,false
2023-02-08 01:38:32,2023-02-09 01:46:07,UTCZ,2023-02-08 01:38:32,2023-02-08 08:53:03,66,14.8,387,434,190,79,118,47,591,105,89,false
2023-02-07 01:06:52,2023-02-08 01:38:32,UTCZ,2023-02-07 01:06:52,2023-02-07 07:06:58,55,14.5,312,360,108,70,134,48,567,51,86,false
2023-02-05 22:10:13,2023-02-07 01:06:52,UTCZ,2023-02-05 22:10:13,2023-02-06 08:12:29,83,14.5,510,602,208,123,179,92,618,144,85,false
2023-02-05 04:56:59,2023-02-05 22:10:13,UTCZ,2023-02-05 04:56:59,2023-02-05 09:00:43,38,15.2,226,243,156,29,41,17,599,57,93,false
2023-02-04 00:48:22,2023-02-05 04:56:59,UTCZ,2023-02-04 00:48:22,2023-02-04 08:41:20,81,14.6,438,472,192,78,168,34,542,72,92,false
2023-02-02 23:36:29,2023-02-04 00:48:22,UTCZ,2023-02-02 23:36:29,2023-02-03 07:40:17,76,14.1,422,483,231,71,120,61,555,77,87,false
2023-02-01 23:46:54,2023-02-02 23:36:29,UTCZ,2023-02-01 23:46:54,2023-02-02 07:05:45,67,13.9,381,438,160,104,117,57,568,81,86,false
2023-01-31 23:47:46,2023-02-01 23:46:54,UTCZ,2023-01-31 23:47:46,2023-02-01 07:06:08,65,14.1,378,438,187,87,104,60,579,98,86,false
2023-01-31 00:35:57,2023-01-31 23:47:46,UTCZ,2023-01-31 00:35:57,2023-01-31 07:06:43,58,14.2,334,388,144,76,114,54,573,102,86,false
2023-01-30 02:25:01,2023-01-31 00:35:57,UTCZ,2023-01-30 02:25:01,2023-01-30 08:24:04,56,14.1,301,359,183,52,66,58,536,0,83,false
